Name;SI;Handles;VM;WS;PM;NPM;Path;Company;CPU;FileVersion;ProductVersion;Description;Product;__NounName;BasePriority;ExitCode;HasExited;ExitTime;Handle;SafeHandle;HandleCount;Id;MachineName;MainWindowHandle;MainWindowTitle;MainModule;MaxWorkingSet;MinWorkingSet;Modules;NonpagedSystemMemorySize;NonpagedSystemMemorySize64;PagedMemorySize;PagedMemorySize64;PagedSystemMemorySize;PagedSystemMemorySize64;PeakPagedMemorySize;PeakPagedMemorySize64;PeakWorkingSet;PeakWorkingSet64;PeakVirtualMemorySize;PeakVirtualMemorySize64;PriorityBoostEnabled;PriorityClass;PrivateMemorySize;PrivateMemorySize64;PrivilegedProcessorTime;ProcessName;ProcessorAffinity;Responding;SessionId;StartInfo;StartTime;SynchronizingObject;Threads;TotalProcessorTime;UserProcessorTime;VirtualMemorySize;VirtualMemorySize64;EnableRaisingEvents;StandardInput;StandardOutput;StandardError;WorkingSet;WorkingSet64;Site;Container
chrome;3;233;2,19979E+12;5287936;27869184;21736;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;0,640625;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;2780;Microsoft.Win32.SafeHandles.SafeProcessHandle;233;12800;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;21736;21736;27869184;27869184;349952;349952;27914240;27914240;37519360;37519360;765345792;2,19979E+12;True;Normal;27869184;27869184;00:00:00.4375000;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:00.6406250;00:00:00.2031250;764297216;2,19979E+12;False;;;;5287936;5287936;;
chrome;3;360;2,19995E+12;67883008;133132288;56960;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;285,03125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3920;Microsoft.Win32.SafeHandles.SafeProcessHandle;360;12884;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;56960;56960;133132288;133132288;382896;382896;205320192;205320192;191758336;191758336;967036928;2,19999E+12;True;Normal;133132288;133132288;00:00:14.9062500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:04:45.0312500;00:04:30.1250000;922525696;2,19995E+12;False;;;;67883008;67883008;;
chrome;3;350;2,20003E+12;15376384;86417408;44312;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;9,5625;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3420;Microsoft.Win32.SafeHandles.SafeProcessHandle;350;12956;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;44312;44312;86417408;86417408;670368;670368;152403968;152403968;154693632;154693632;1049092096;2,20007E+12;True;Idle;86417408;86417408;00:00:01.5937500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:09.5625000;00:00:07.9687500;1007042560;2,20003E+12;False;;;;15376384;15376384;;
chrome;3;503;2,20082E+12;27029504;197550080;79672;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;196,8125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;2980;Microsoft.Win32.SafeHandles.SafeProcessHandle;503;13136;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;79672;79672;197550080;197550080;800048;800048;323698688;323698688;771010560;771010560;-1918476288;2,2014E+12;True;Idle;197550080;197550080;00:00:15.1562500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:03:16.8125000;00:03:01.6562500;1801105408;2,20082E+12;False;;;;27029504;27029504;;
chrome;3;390;2,20113E+12;44568576;102477824;50704;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;58,703125;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;4028;Microsoft.Win32.SafeHandles.SafeProcessHandle;390;13236;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;50704;50704;102477824;102477824;634032;634032;124727296;124727296;112754688;112754688;2111459328;2,20113E+12;True;Normal;102477824;102477824;00:00:08.2031250;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:58.7031250;00:00:50.5000000;2110410752;2,20113E+12;False;;;;44568576;44568576;;
chrome;3;255;2,1998E+12;9109504;35471360;23912;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;1,1875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3952;Microsoft.Win32.SafeHandles.SafeProcessHandle;255;13268;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;23912;23912;35471360;35471360;351736;351736;38645760;38645760;45535232;45535232;785661952;2,19981E+12;True;Normal;35471360;35471360;00:00:00.5625000;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:01.1875000;00:00:00.6250000;780939264;2,1998E+12;False;;;;9109504;9109504;;
chrome;3;308;2,19992E+12;17227776;61816832;38872;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;32,1875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;4;;False;;3404;Microsoft.Win32.SafeHandles.SafeProcessHandle;308;13444;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;38872;38872;61816832;61816832;422016;422016;237105152;237105152;303812608;303812608;1088827392;2,20011E+12;True;Idle;61816832;61816832;00:00:03.0468750;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:32.1875000;00:00:29.1406250;898265088;2,19992E+12;False;;;;17227776;17227776;;
chrome;3;296;2,19988E+12;42319872;72597504;32344;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;22,96875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3028;Microsoft.Win32.SafeHandles.SafeProcessHandle;296;14276;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;32344;32344;72597504;72597504;467520;467520;97263616;97263616;88150016;88150016;866377728;2,19989E+12;True;Normal;72597504;72597504;00:00:03.4687500;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:22.9687500;00:00:19.5000000;853471232;2,19988E+12;False;;;;42319872;42319872;;
chrome;3;303;2,19991E+12;11878400;51314688;32888;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;9,21875;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;1824;Microsoft.Win32.SafeHandles.SafeProcessHandle;303;14628;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;32888;32888;51314688;51314688;541896;541896;75739136;75739136;79265792;79265792;889171968;2,19991E+12;True;Normal;51314688;51314688;00:00:01.5156250;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:40;;System.Diagnostics.ProcessThreadCollection;00:00:09.2187500;00:00:07.7031250;882180096;2,19991E+12;False;;;;11878400;11878400;;
chrome;3;331;2,19994E+12;6238208;75620352;37784;C:\Program Files (x86)\Google\Chrome\Application\chrome.exe;Google Inc.;4,5625;57.0.2987.133;57.0.2987.133;Google Chrome;Google Chrome;Process;8;;False;;3812;Microsoft.Win32.SafeHandles.SafeProcessHandle;331;14664;.;0;;System.Diagnostics.ProcessModule (chrome.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;37784;37784;75620352;75620352;523344;523344;93253632;93253632;101621760;101621760;920653824;2,19994E+12;True;Normal;75620352;75620352;00:00:00.9375000;chrome;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:39;;System.Diagnostics.ProcessThreadCollection;00:00:04.5625000;00:00:03.6250000;914362368;2,19994E+12;False;;;;6238208;6238208;;
